S0.2537,I0.2537,R0.2537,S0.25320,I0.25320,R0.25320,S0.2527,I0.2527,R0.2527,S0.25220,I0.25220,R0.25220,S0.2517,I0.2517,R0.2517,S0.25120,I0.25120,R0.25120,S0.7537,I0.7537,R0.7537,S0.75320,I0.75320,R0.75320,S0.7527,I0.7527,R0.7527,S0.75220,I0.75220,R0.75220,S0.7517,I0.7517,R0.7517,S0.75120,I0.75120,R0.75120,S237,I237,R237,S2320,I2320,R2320,S227,I227,R227,S2220,I2220,R2220,S217,I217,R217,S2120,I2120,R2120
1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0,1.00E+06,1,0
1.00E+06,1.1593,0.076977,1.00E+06,1.0531,0.025658,1.00E+06,1.3396,0.082967,1.00E+06,1.1077,0.026324,1.00E+06,1.5479,0.089577,1.00E+06,1.1652,0.027013,1.00E+06,1.5479,0.089577,1.00E+06,1.1652,0.027013,1.00E+06,2.3883,0.11391,1.00E+06,1.3562,0.029227,1.00E+06,3.6849,0.14704,1.00E+06,1.5785,0.031683,1.00E+06,3.1889,0.13482,1.00E+06,1.5006,0.030836,1.00E+06,10.136,0.28176,1.00E+06,2.2493,0.03853,1.00E+06,32.216,0.64212,1.00E+06,3.3716,0.048782
1.00E+06,1.2482,0.11995,1.00E+06,1.0807,0.038993,1.00E+06,1.5505,0.13448,1.00E+06,1.1659,0.040531,1.00E+06,1.9259,0.15136,1.00E+06,1.2578,0.04215,1.00E+06,1.9259,0.15136,1.00E+06,1.2578,0.04215,1.00E+06,3.6909,0.22078,1.00E+06,1.5794,0.047539,1.00E+06,7.0735,0.33263,1.00E+06,1.9832,0.053848,1.00E+06,5.6947,0.28916,1.00E+06,1.8383,0.051633,1.00E+06,32.269,0.96436,1.00E+06,3.3735,0.073199,1.00E+06,182.83,3.7406,1.00E+06,6.1908,0.10677
1.00E+06,1.3439,0.16622,1.00E+06,1.109,0.052678,1.00E+06,1.7945,0.19411,1.00E+06,1.2271,0.055484,1.00E+06,2.3961,0.22824,1.00E+06,1.3578,0.058489,1.00E+06,2.3961,0.22824,1.00E+06,1.3578,0.058489,1.00E+06,5.704,0.38595,1.00E+06,1.8393,0.068865,1.00E+06,13.578,0.68887,1.00E+06,2.4917,0.081695,1.00E+06,10.169,0.56476,1.00E+06,2.2519,0.077109,1.00E+06,102.73,3.1375,1.00E+06,5.0595,0.1252,9.99E+05,1036.9,21.319,1.00E+06,11.367,0.21325
1.00E+06,1.447,0.21603,1.00E+06,1.1381,0.066721,1.00E+06,2.077,0.26312,1.00E+06,1.2915,0.071222,1.00E+06,2.9812,0.32388,1.00E+06,1.4657,0.076127,1.00E+06,2.9812,0.32388,1.00E+06,1.4657,0.076127,1.00E+06,8.815,0.6412,1.00E+06,2.142,0.093701,1.00E+06,26.065,1.3727,1.00E+06,3.1306,0.11668,1.00E+06,18.16,1.0569,1.00E+06,2.7586,0.10832,1.00E+06,326.98,10.055,1.00E+06,7.5881,0.20318,9.94E+05,5856.3,120.8,1.00E+06,20.872,0.40877
1.00E+06,1.558,0.26967,1.00E+06,1.1679,0.081133,1.00E+06,2.4039,0.343,1.00E+06,1.3593,0.087786,1.00E+06,3.7091,0.44288,1.00E+06,1.5821,0.095167,1.00E+06,3.7091,0.44288,1.00E+06,1.5821,0.095167,1.00E+06,13.623,1.0357,1.00E+06,2.4946,0.12262,1.00E+06,50.032,2.6854,1.00E+06,3.9332,0.16064,1.00E+06,32.428,1.9358,1.00E+06,3.3793,0.14655,9.99E+05,1040.3,32.068,1.00E+06,11.38,0.32013,9.67E+05,32337,676.36,1.00E+06,38.325,0.76777
1.00E+06,1.6775,0.32742,1.00E+06,1.1985,0.095922,1.00E+06,2.7824,0.43544,1.00E+06,1.4307,0.10522,1.00E+06,4.6147,0.59093,1.00E+06,1.7079,0.11572,1.00E+06,4.6147,0.59093,1.00E+06,1.7079,0.11572,1.00E+06,21.053,1.6453,1.00E+06,2.9051,0.15631,1.00E+06,96.038,5.2052,1.00E+06,4.9416,0.21587,1.00E+06,57.908,3.5052,1.00E+06,4.1397,0.19338,9.97E+05,3304.2,102.04,1.00E+06,17.068,0.49554,8.37E+05,1.59E+05,3568.5,1.00E+06,70.369,1.427
1.00E+06,1.8062,0.3896,1.00E+06,1.2299,0.1111,1.00E+06,3.2203,0.54244,1.00E+06,1.5058,0.12357,1.00E+06,5.7414,0.77513,1.00E+06,1.8436,0.1379,1.00E+06,5.7414,0.77513,1.00E+06,1.8436,0.1379,1.00E+06,32.535,2.5874,1.00E+06,3.3832,0.19553,1.00E+06,184.34,10.042,1.00E+06,6.2086,0.28526,1.00E+06,103.4,6.3077,1.00E+06,5.0711,0.25075,9.89E+05,10442,323.74,1.00E+06,25.598,0.75861,4.74E+05,5.11E+05,14926,1.00E+06,129.2,2.6373
1.00E+06,1.9447,0.45655,1.00E+06,1.2621,0.12667,1.00E+06,3.7272,0.66629,1.00E+06,1.5848,0.14288,1.00E+06,7.1433,1.0043,1.00E+06,1.9901,0.16185,1.00E+06,7.1433,1.0043,1.00E+06,1.9901,0.16185,1.00E+06,50.279,4.0433,1.00E+06,3.94,0.24121,1.00E+06,353.79,19.325,1.00E+06,7.8004,0.37243,1.00E+06,184.64,11.312,1.00E+06,6.2121,0.32103,9.67E+05,32480,1018.8,1.00E+06,38.391,1.1532,1.35E+05,8.25E+05,39559,1.00E+06,237.21,4.8594
1.00E+06,2.0939,0.52863,1.00E+06,1.2952,0.14265,1.00E+06,4.3139,0.80962,1.00E+06,1.668,0.16321,1.00E+06,8.8874,1.2894,1.00E+06,2.1482,0.1877,1.00E+06,8.8874,1.2894,1.00E+06,2.1482,0.1877,1.00E+06,77.7,6.2932,1.00E+06,4.5884,0.29441,9.99E+05,678.91,37.14,1.00E+06,9.8003,0.48196,1.00E+06,329.67,20.247,1.00E+06,7.6099,0.40712,9.01E+05,96348,3129.8,1.00E+06,57.577,1.7449,26018,9.03E+05,70906,1.00E+06,435.48,8.9391
