S,I,R
1e+06,1,0
1e+06,1.0116,0.016763
1e+06,1.0175,0.025218
1e+06,1.0233,0.033721
1e+06,1.0293,0.042273
1e+06,1.0352,0.050875
1e+06,1.0412,0.059527
1e+06,1.0472,0.068229
1e+06,1.0533,0.076981
1e+06,1.0594,0.085783
1e+06,1.0655,0.094637
1e+06,1.0717,0.10354
1e+06,1.0779,0.1125
1e+06,1.0841,0.12151
1e+06,1.0904,0.13057
1e+06,1.0967,0.13968
1e+06,1.103,0.14884
1e+06,1.1094,0.15806
1e+06,1.1158,0.16733
1e+06,1.1223,0.17666
1e+06,1.1288,0.18604
1e+06,1.1353,0.19547
1e+06,1.1418,0.20496
1e+06,1.1485,0.2145
1e+06,1.1551,0.2241
1e+06,1.1618,0.23375
1e+06,1.1685,0.24346
1e+06,1.1753,0.25323
1e+06,1.182,0.26305
1e+06,1.1889,0.27293
1e+06,1.1958,0.28287
1e+06,1.2027,0.29286
1e+06,1.2096,0.30291
1e+06,1.2166,0.31302
1e+06,1.2237,0.32319
1e+06,1.2307,0.33342
1e+06,1.2379,0.3437
1e+06,1.245,0.35405
1e+06,1.2522,0.36445
1e+06,1.2595,0.37492
1e+06,1.2668,0.38544
1e+06,1.2741,0.39603
1e+06,1.2814,0.40668
1e+06,1.2889,0.41739
1e+06,1.2963,0.42816
1e+06,1.3038,0.43899
1e+06,1.3114,0.44989
1e+06,1.3189,0.46085
1e+06,1.3266,0.47187
1e+06,1.3342,0.48296
1e+06,1.342,0.49411
1e+06,1.3497,0.50532
1e+06,1.3575,0.5166
1e+06,1.3654,0.52795
1e+06,1.3733,0.53936
1e+06,1.3812,0.55084
1e+06,1.3892,0.56238
1e+06,1.3972,0.57399
1e+06,1.4053,0.58567
1e+06,1.4135,0.59741
1e+06,1.4216,0.60923
1e+06,1.4298,0.62111
1e+06,1.4381,0.63306
1e+06,1.4464,0.64508
1e+06,1.4548,0.65716
1e+06,1.4632,0.66932
1e+06,1.4717,0.68155
1e+06,1.4802,0.69385
1e+06,1.4888,0.70622
1e+06,1.4974,0.71866
1e+06,1.506,0.73118
1e+06,1.5147,0.74376
1e+06,1.5235,0.75642
1e+06,1.5323,0.76916
1e+06,1.5412,0.78196
1e+06,1.5501,0.79484
1e+06,1.5591,0.8078
1e+06,1.5681,0.82083
1e+06,1.5771,0.83393
1e+06,1.5863,0.84711
1e+06,1.5954,0.86037
1e+06,1.6047,0.8737
1e+06,1.6139,0.88711
1e+06,1.6233,0.9006
1e+06,1.6327,0.91417
1e+06,1.6421,0.92781
1e+06,1.6516,0.94154
1e+06,1.6612,0.95534
1e+06,1.6708,0.96922
1e+06,1.6804,0.98319
1e+06,1.6902,0.99723
1e+06,1.6999,1.0114
1e+06,1.7098,1.0256
1e+06,1.7196,1.0399
1e+06,1.7296,1.0542
1e+06,1.7396,1.0687
1e+06,1.7497,1.0832
1e+06,1.7598,1.0978
1e+06,1.77,1.1125
1e+06,1.7802,1.1273
1e+06,1.7905,1.1422
1e+06,1.8008,1.1572
1e+06,1.8113,1.1722
1e+06,1.8217,1.1874
1e+06,1.8323,1.2026
1e+06,1.8429,1.2179
1e+06,1.8535,1.2333
1e+06,1.8643,1.2488
1e+06,1.875,1.2644
1e+06,1.8859,1.2801
1e+06,1.8968,1.2958
1e+06,1.9078,1.3117
1e+06,1.9188,1.3276
1e+06,1.9299,1.3436
1e+06,1.9411,1.3598
1e+06,1.9523,1.376
1e+06,1.9636,1.3923
1e+06,1.9749,1.4087
1e+06,1.9864,1.4252
1e+06,1.9978,1.4418
1e+06,2.0094,1.4585
1e+06,2.021,1.4753
1e+06,2.0327,1.4922
1e+06,2.0445,1.5092
1e+06,2.0563,1.5263
1e+06,2.0682,1.5435
1e+06,2.0801,1.5608
1e+06,2.0922,1.5781
1e+06,2.1043,1.5956
1e+06,2.1165,1.6132
1e+06,2.1287,1.6309
1e+06,2.141,1.6487
1e+06,2.1534,1.6666
1e+06,2.1658,1.6846
1e+06,2.1784,1.7027
1e+06,2.191,1.7209
1e+06,2.2036,1.7392
1e+06,2.2164,1.7576
1e+06,2.2292,1.7761
1e+06,2.2421,1.7948
1e+06,2.2551,1.8135
1e+06,2.2681,1.8324
1e+06,2.2812,1.8513
1e+06,2.2944,1.8704
1e+06,2.3077,1.8895
1e+06,2.321,1.9088
1e+06,2.3345,1.9282
1e+06,2.348,1.9477
1e+06,2.3615,1.9674
1e+06,2.3752,1.9871
1e+06,2.3889,2.007
1e+06,2.4028,2.0269
1e+06,2.4167,2.047
1e+06,2.4306,2.0672
1e+06,2.4447,2.0875
1e+06,2.4588,2.1079
1e+06,2.4731,2.1285
1e+06,2.4874,2.1492
1e+06,2.5017,2.1699
1e+06,2.5162,2.1909
1e+06,2.5308,2.2119
1e+06,2.5454,2.233
1e+06,2.5601,2.2543
1e+06,2.5749,2.2757
1e+06,2.5898,2.2972
1e+06,2.6048,2.3189
1e+06,2.6199,2.3406
1e+06,2.635,2.3625
9.9999e+05,2.6503,2.3846
9.9999e+05,2.6656,2.4067
9.9999e+05,2.681,2.429
9.9999e+05,2.6965,2.4514
9.9999e+05,2.7121,2.4739
9.9999e+05,2.7278,2.4966
9.9999e+05,2.7436,2.5194
9.9999e+05,2.7595,2.5423
9.9999e+05,2.7754,2.5654
9.9999e+05,2.7915,2.5886
9.9999e+05,2.8076,2.6119
9.9999e+05,2.8239,2.6354
9.9999e+05,2.8402,2.659
9.9999e+05,2.8566,2.6827
9.9999e+05,2.8731,2.7066
9.9999e+05,2.8898,2.7306
9.9999e+05,2.9065,2.7547
9.9999e+05,2.9233,2.779
9.9999e+05,2.9402,2.8035
9.9999e+05,2.9572,2.828
9.9999e+05,2.9743,2.8527
9.9999e+05,2.9915,2.8776
9.9999e+05,3.0088,2.9026
9.9999e+05,3.0262,2.9278
9.9999e+05,3.0437,2.953
9.9999e+05,3.0613,2.9785
9.9999e+05,3.079,3.0041
9.9999e+05,3.0968,3.0298
9.9999e+05,3.1147,3.0557
9.9999e+05,3.1328,3.0817
9.9999e+05,3.1509,3.1079
9.9999e+05,3.1691,3.1342
9.9999e+05,3.1874,3.1607
9.9999e+05,3.2059,3.1873
9.9999e+05,3.2244,3.2141
9.9999e+05,3.2431,3.2411
9.9999e+05,3.2618,3.2682
9.9999e+05,3.2807,3.2955
9.9999e+05,3.2996,3.3229
9.9999e+05,3.3187,3.3504
9.9999e+05,3.3379,3.3782
9.9999e+05,3.3572,3.4061
9.9999e+05,3.3767,3.4341
9.9999e+05,3.3962,3.4624
9.9999e+05,3.4158,3.4907
9.9999e+05,3.4356,3.5193
9.9999e+05,3.4555,3.548
9.9999e+05,3.4754,3.5769
9.9999e+05,3.4955,3.6059
9.9999e+05,3.5158,3.6351
9.9999e+05,3.5361,3.6645
9.9999e+05,3.5565,3.6941
9.9999e+05,3.5771,3.7238
9.9999e+05,3.5978,3.7537
9.9999e+05,3.6186,3.7838
9.9999e+05,3.6395,3.814
9.9999e+05,3.6606,3.8444
9.9999e+05,3.6818,3.875
9.9999e+05,3.7031,3.9058
